expression,reading,meaning,tags,similar_guid,guid
あきらめずに,あきらめずに,포기하지 않고,JLPT_1 JLPT,ovr]8:1#w=,P+V1j8@M}F
はかどっている,はかどっている,순조롭게 진행되고 있다,JLPT_1 JLPT,;ZE>=pkcAz,1UT~aQt!Gj
順調に進んでいる,じゅんちょうにすすんでいる,순조롭게 진행되고 있다,JLPT_1 JLPT,1UT~aQt!Gj,;ZE>=pkcAz
破格な,はかくな,파격적인,JLPT_1 JLPT,qkz:o7*c}r,E=S[4IZTQT
特によい,とくによい,특히 좋은,JLPT_1 JLPT,E=S[4IZTQT,qkz:o7*c}r
漠然,ばくぜん,막연함,JLPT_1 JLPT,?3%tCJqR^V,Mun!B}MkD&
ぼんやりしている,ぼんやりしている,어렴풋하다,JLPT_1 JLPT,Mun!B}MkD&,?3%tCJqR^V
バックアップ,ばっくあっぷ,지원,JLPT_1 JLPT,_e_#4<;U%o,Z5iL=#pOVM
支援,しえん,지원,JLPT_1 JLPT,Z5iL=#pOVM,_e_#4<;U%o
抜群だった,ばつぐんだった,뛰어났다,JLPT_1 JLPT,6h_3s~<wdK,9QH/rx=uQ`
ほかと比べてとくによかった,ほかとくらべてとくによかった,다른 것과 비교해서 특히 좋았다,JLPT_1 JLPT,9QH/rx=uQ`,6h_3s~<wdK
ばててしまった,ばててしまった,지쳐 버렸다,JLPT_1 JLPT,}n8T12b0W;,_zA@qLhRCA
疲れてしまった,つかれてしまった,지쳐 버렸다,JLPT_1 JLPT,_zA@qLhRCA,}n8T12b0W;
張り合う,はりあう,경쟁하다,JLPT_1 JLPT,P*;9E04~n7,?27AyCG>@l
競争する・競い合う,きょうそうする・きそいあう,경쟁하다,JLPT_1 JLPT,?27AyCG>@l,P*;9E04~n7
ひそかに,ひそかに,"살짝, 몰래",JLPT_1 JLPT,~&FKR?IE5X,bm-I;[%&ph
こっそり,こっそり,몰래,JLPT_1 JLPT,bm-I;[%&ph,~&FKR?IE5X
冷やかして,ひやかして,놀리고,JLPT_1 JLPT,"k~2l_({,s!",qu|`Uy!}Z3
